Sintoma1,Sintoma2,Doenca_Associada,Fonte
cansaço,tontura,Hipertensão,Sintético-CardioIA
inchaço nos pés,fraqueza,Doença Coronariana,Sintético-CardioIA
dor no braço esquerdo,palpitações,Doença Coronariana,Sintético-CardioIA
náusea,cansaço,Angina,Sintético-CardioIA
dor na mandíbula,cansaço extremo,Fibrilação Atrial,Sintético-CardioIA
náusea,cansaço extremo,Arritmia,Sintético-CardioIA
aperto no peito,inchaço nas pernas,Arritmia,Sintético-CardioIA
falta de ar,sudorese,Infarto,Sintético-CardioIA
dificuldade para respirar,tontura,Cardiomiopatia,Sintético-CardioIA
náusea,pressão no peito,Fibrilação Atrial,Sintético-CardioIA
náusea,dispneia,Infarto,Sintético-CardioIA
batimentos acelerados,náusea,Insuficiência Cardíaca,Sintético-CardioIA
dispneia,dor na mandíbula,Arritmia,Sintético-CardioIA
inchaço nos pés,pressão no peito,Infarto,Sintético-CardioIA
cansaço extremo,dor nas costas,Doença Coronariana,Sintético-CardioIA
fraqueza,aperto no peito,Fibrilação Atrial,Sintético-CardioIA
palpitações,dor no peito,Infarto,Sintético-CardioIA
batimentos acelerados,tontura,Infarto,Sintético-CardioIA
batimentos irregulares,visão turva,Cardiomiopatia,Sintético-CardioIA
dor nas costas,dor no peito,Fibrilação Atrial,Sintético-CardioIA
dor na mandíbula,cansaço extremo,Doença Coronariana,Sintético-CardioIA
náusea,mal-estar,Fibrilação Atrial,Sintético-CardioIA
tontura,dor nas costas,Angina,Sintético-CardioIA
dor torácica,fraqueza,Angina,Sintético-CardioIA
pressão no peito,formigamento no braço,Infarto,Sintético-CardioIA
sudorese,dificuldade para respirar,Fibrilação Atrial,Sintético-CardioIA
visão turva,inchaço nas pernas,Infarto,Sintético-CardioIA
formigamento no braço,sudorese,Doença Coronariana,Sintético-CardioIA
fadiga,mal-estar,Angina,Sintético-CardioIA
visão turva,cansaço,Doença Coronariana,Sintético-CardioIA
cansaço extremo,falta de ar,Fibrilação Atrial,Sintético-CardioIA
cansaço extremo,inchaço nas pernas,Arritmia,Sintético-CardioIA
mal-estar,sensação de desmaio,Fibrilação Atrial,Sintético-CardioIA
náusea,inchaço nas pernas,Angina,Sintético-CardioIA
cansaço,visão turva,Cardiomiopatia,Sintético-CardioIA
dispneia,dor torácica,Doença Coronariana,Sintético-CardioIA
dor no braço esquerdo,cansaço extremo,Fibrilação Atrial,Sintético-CardioIA
cansaço,palpitações,Infarto,Sintético-CardioIA
mal-estar,pressão no peito,Arritmia,Sintético-CardioIA
dor no braço esquerdo,dor torácica,Fibrilação Atrial,Sintético-CardioIA
dor na mandíbula,pressão no peito,Angina,Sintético-CardioIA
visão turva,cansaço,Angina,Sintético-CardioIA
dor no peito,dificuldade para respirar,Angina,Sintético-CardioIA
falta de ar,batimentos acelerados,Hipertensão,Sintético-CardioIA
dor no peito,inchaço nos pés,Arritmia,Sintético-CardioIA
falta de ar,náusea,Infarto,Sintético-CardioIA
dor no peito,falta de ar,Angina,Sintético-CardioIA
tontura,palpitações,Doença Coronariana,Sintético-CardioIA
dificuldade para respirar,dor no peito,Insuficiência Cardíaca,Sintético-CardioIA
visão turva,inchaço nos pés,Cardiomiopatia,Sintético-CardioIA
formigamento no braço,aperto no peito,Fibrilação Atrial,Sintético-CardioIA
sudorese,dor torácica,Doença Coronariana,Sintético-CardioIA
fraqueza,dor no braço esquerdo,Doença Coronariana,Sintético-CardioIA
batimentos acelerados,fadiga,Insuficiência Cardíaca,Sintético-CardioIA
dor no peito,batimentos acelerados,Infarto,Sintético-CardioIA
palpitações,visão turva,Arritmia,Sintético-CardioIA
dificuldade para respirar,aperto no peito,Doença Coronariana,Sintético-CardioIA
dor torácica,dispneia,Arritmia,Sintético-CardioIA
náusea,mal-estar,Infarto,Sintético-CardioIA
pressão no peito,tontura,Infarto,Sintético-CardioIA
visão turva,formigamento no braço,Insuficiência Cardíaca,Sintético-CardioIA
dificuldade para respirar,fadiga,Infarto,Sintético-CardioIA
dificuldade para respirar,falta de ar,Doença Coronariana,Sintético-CardioIA
fraqueza,sensação de desmaio,Infarto,Sintético-CardioIA
tontura,palpitações,Insuficiência Cardíaca,Sintético-CardioIA
sensação de desmaio,fadiga,Fibrilação Atrial,Sintético-CardioIA
dor no braço esquerdo,batimentos irregulares,Arritmia,Sintético-CardioIA
fadiga,sudorese,Doença Coronariana,Sintético-CardioIA
sudorese,mal-estar,Doença Coronariana,Sintético-CardioIA
dispneia,inchaço nas pernas,Insuficiência Cardíaca,Sintético-CardioIA
sudorese,dispneia,Angina,Sintético-CardioIA
sensação de desmaio,batimentos acelerados,Fibrilação Atrial,Sintético-CardioIA
tontura,inchaço nas pernas,Cardiomiopatia,Sintético-CardioIA
